"Test Case ID","Test Case Description","Category","Priority","Preconditions","Test Steps","Expected Result","Actual Result","Status","Tested By","Test Date","Remarks"
"TC_AU_DDM_024","Delete an existing direct debit instruction with confirmation","Functional","P1","An existing direct debit instruction is loaded and user has delete rights","1. Load a record | 2. Click Delete | 3. Confirm the delete dialog","Delete API is executed successfully, success feedback is shown, and the form is cleared back to VIEW mode","","Not Executed","","",""
"TC_AU_DDM_025","Verify delete is cancelled when the user declines confirmation","Validation","P2","An existing direct debit instruction is loaded","1. Click Delete | 2. Choose No or Cancel in the confirmation dialog","No delete API call is made and the current record remains loaded unchanged","","Not Executed","","",""
"TC_AU_DDM_026","Stop an existing direct debit instruction successfully","Functional","P1","An existing active direct debit instruction is loaded and record lock acquisition succeeds","1. Load an active record | 2. Click Stop | 3. Confirm the stop dialog","System adds a record lock, calls the stop API, reloads the record, and shows a success message","","Not Executed","","",""
"TC_AU_DDM_027","Verify stop flow always releases the record lock after processing","Integration","P1","A stop attempt is made on a loaded record","1. Click Stop and confirm | 2. Observe the release lock API behavior after success or failure","Release lock is attempted after the stop process completes so the record is not left locked by the current session","","Not Executed","","",""
"TC_AU_DDM_028","Verify print action opens browser print flow for a loaded record","UI","P3","An existing direct debit instruction is loaded","1. Load a record | 2. Click Print","Browser print flow is triggered using the current form view without changing record data","","Not Executed","","",""
"TC_AU_DDM_029","Verify refresh reloads the currently loaded record","Functional","P2","An existing direct debit instruction is already loaded","1. Load a record | 2. Click the refresh action | 3. Observe field values and messages","System reloads the current record using the saved search key and refreshes displayed values","","Not Executed","","",""
"TC_AU_DDM_030","Verify close action prompts when unsaved changes exist","Business","P2","User is in Add or Edit mode with unsaved changes","1. Modify one or more fields | 2. Click the window close action","System prompts for confirmation before closing or redirecting because unsaved changes are present","","Not Executed","","",""
"TC_AU_DDM_031","Verify audit and execution metadata render for a loaded record","Functional","P2","An existing record contains audit and execution metadata","1. Load a record | 2. Expand Behind The Scene | 3. Review Next Execution Date, Last Run Date, Created By, Modified By, and related fields","Audit and execution fields display returned values or the default placeholder when data is absent, and remain read-only","","Not Executed","","",""
"TC_AU_DDM_032","Verify unauthorized session is handled gracefully by the API flow","Validation","P1","User session is expired or user is not authenticated","1. Open the module or attempt View, Save, Delete, or Stop after session expiry | 2. Observe response handling","Backend returns unauthorized response and the user receives failure feedback instead of silent success","","Not Executed","","",""
"TC_AU_DDM_033","Verify message and loading indicators during long-running operations","UI","P3","Module is loaded and an operation such as View, Save, Delete, or Stop is triggered","1. Trigger a data operation | 2. Observe the loading overlay and resulting message area or notification","Loading overlay appears while the request is in progress and user feedback is shown after completion","","Not Executed","","",""
"TC_AU_DDM_034","Verify direct debit lookup selection also populates description text","Functional","P2","The Direct Debit Instruction lookup contains valid rows","1. Open the Direct Debit Instruction lookup | 2. Select a record","Instruction ID is filled and the adjacent description field is populated using Account Name, Reference No, or description from the selected row","","Not Executed","","",""
