Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GM_011,Create new group with valid data,Functional,P1,User is in Add mode with valid branch,1. Enter valid mandatory details | 2. Click Save | 3. Observe success notification,Group is created successfully with system generated center ID and data persists,,Not Executed,,,
TC_MF_GM_012,Verify success message contains generated group ID,UI,P2,New group save completed,1. Save a new group | 2. Observe success toast/message area,Success message includes the created Group ID for user reference,,Not Executed,,,
TC_MF_GM_013,Verify Edit action requires loaded center,Validation,P1,No center record is currently loaded,1. Open module fresh | 2. Click Edit,System blocks edit operation and prompts user to load a center first,,Not Executed,,,
TC_MF_GM_014,Edit existing group and save changes,Functional,P1,Existing center is loaded in view mode,1. Click Edit | 2. Change editable fields such as meeting details | 3. Click Save,Record updates successfully and latest values are visible in view mode,,Not Executed,,,
TC_MF_GM_015,Cancel behavior in Add mode clears entered data,Business,P2,User is in Add mode with unsaved values,1. Click Add | 2. Enter sample values | 3. Click Cancel,Form resets to clean state and add/edit flags are cleared,,Not Executed,,,
TC_MF_GM_016,Cancel behavior in Edit mode reloads persisted record,Business,P1,Existing record is loaded and modified in Edit mode,1. Click Edit | 2. Modify fields without saving | 3. Click Cancel,Unsaved values are discarded and original server values are reloaded,,Not Executed,,,
TC_MF_GM_017,Delete action requires loaded center,Validation,P1,No valid center selected,1. Attempt Delete without loading center,System prevents delete and shows validation prompt,,Not Executed,,,
TC_MF_GM_018,Delete existing group with confirmation,Functional,P1,Existing center is loaded with delete permission,1. Click Delete | 2. Confirm in dialog | 3. Observe result,Record is deleted successfully and form is cleared with focus returned to Branch ID,,Not Executed,,,
TC_MF_GM_019,Verify section collapse and expand interactions,UI,P3,Module is loaded,1. Toggle each section header once to collapse | 2. Toggle again to expand,Section content visibility changes correctly and icon state updates,,Not Executed,,,
TC_MF_GM_020,Verify sidebar section expand and collapse behavior,UI,P3,Module is loaded,1. Expand Data Entry and View groups | 2. Collapse them back,Sidebar groups open and close reliably without breaking layout,,Not Executed,,,
TC_MF_GM_021,Verify sidebar submodule search filtering,Functional,P3,Sidebar has multiple submodules,1. Type 'Group' in submodule search | 2. Verify filtered items | 3. Clear search,Only matching submodules are shown and clear restores full list,,Not Executed,,,
TC_MF_GM_022,Verify opening child submodule iframe from sidebar,Integration,P2,Main form is visible,1. Click a sidebar item such as Group Details | 2. Observe iframe transition,Child form opens in inline iframe and main form is hidden after transition,,Not Executed,,,
TC_MF_GM_023,Verify closing child submodule returns to main form,Integration,P2,Child iframe is currently open,1. Trigger close child action | 2. Wait for close animation,Main form becomes visible again and iframe source resets to about:blank,,Not Executed,,,
TC_MF_GM_024,Verify Group Class dropdown is populated and selectable,Functional,P2,Module is loaded,1. Open Group Class dropdown | 2. Select a value,Dropdown contains valid options with --Select-- placeholder and selected value persists in edit state,,Not Executed,,,
TC_MF_GM_025,Verify Meeting Day and Status dropdown behavior,UI,P3,User is in Add or Edit mode,1. Select Meeting Day | 2. Change Status Active and Inactive,Selected values are retained and available for save payload,,Not Executed,,,
TC_MF_GM_026,Verify meeting date business sequence validation,Business,P1,User is in Add or Edit mode,1. Enter Formation Date later than First Meeting Date | 2. Attempt Save,System enforces valid business date sequence and blocks invalid save,,Not Executed,,,
TC_MF_GM_027,Verify status reason handling when status is Inactive,Business,P2,User is in Edit mode,1. Set Status to Inactive | 2. Leave Status Reason empty | 3. Click Save,System enforces status reason requirement for inactive groups if configured by business rule,,Not Executed,,,
TC_MF_GM_028,Verify backend integration for save payload fields,Integration,P2,Browser dev tools network tab is available,1. Perform Add or Edit save | 2. Inspect save request payload,Payload includes required identifiers and group data fields expected by API contract,,Not Executed,,,
TC_MF_GM_029,Verify backend integration for delete API call,Integration,P2,Existing record loaded with delete permission,1. Click Delete and confirm | 2. Inspect delete request and response,Delete API is called once with correct branch and group identifiers and returns success,,Not Executed,,,
TC_MF_GM_030,Verify audit fields render for viewed record,Functional,P3,Existing center is loaded,1. Click View for an existing record | 2. Inspect Behind the Scene audit items,Created and modified metadata are displayed when available without becoming editable,,Not Executed,,,
TC_MF_GM_031,Verify Group Snapshot fields stay read-only,Business,P2,Existing center is loaded,1. View group snapshot section | 2. Try editing total and balance fields,Snapshot metrics remain read-only to preserve derived business values,,Not Executed,,,
TC_MF_GM_032,Verify center product lookup and selected value persistence,Functional,P2,User is in Add or Edit mode,1. Click Center Product lookup | 2. Select product | 3. Save and reload,Product ID and name persist correctly after save and subsequent view,,Not Executed,,,
TC_MF_GM_033,Verify credit officer and group formed by lookups,Functional,P2,User is in Add or Edit mode,1. Use Credit Officer lookup | 2. Use Group Formed By lookup | 3. Save,Selected user IDs and names are accepted and persisted,,Not Executed,,,
TC_MF_GM_034,Verify branch change resets center context safely,Business,P2,Existing center was previously loaded,1. Load a center record | 2. Change Branch ID | 3. Attempt View without reselecting center,System avoids cross-branch stale center context and prompts for valid center selection,,Not Executed,,,
TC_MF_GM_035,Verify toast notifications for success and validation events,UI,P3,Module is loaded,1. Trigger one validation error | 2. Trigger one successful save,Toast messages appear in toast container with clear feedback for each event,,Not Executed,,,
TC_MF_GM_036,Verify access control for unauthorized user,Validation,P1,Login with user lacking Group Maintenance rights,1. Navigate to Group Maintenance URL directly,System denies access or renders read-only behavior based on authorization policy,,Not Executed,,,
