Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GRT_014,Create new GRT Details record with valid inputs,Functional,P1,Add mode active and user has create rights,1. Enter valid values across mandatory fields | 2. Click Save,Record is saved successfully and success feedback is shown,,Not Executed,,,
TC_MF_GRT_015,Edit an existing GRT record and save,Functional,P1,Existing GRT record is loaded in view mode,1. Click Edit | 2. Change editable values | 3. Click Save,Changes are persisted and reloaded values reflect updates,,Not Executed,,,
TC_MF_GRT_016,Delete existing GRT record with confirmation,Functional,P1,Existing GRT record loaded and delete permission granted,1. Click Delete | 2. Confirm in prompt,Record is deleted successfully and screen resets safely,,Not Executed,,,
TC_MF_GRT_017,Cancel in Add mode discards unsaved values,Business,P1,Add mode with entered but unsaved values,1. Click Add | 2. Enter sample values | 3. Click Cancel,Unsaved values are discarded and form returns to stable default/view state,,Not Executed,,,
TC_MF_GRT_018,Cancel in Edit mode restores original persisted values,Business,P1,Edit mode with unsaved modifications,1. Load record | 2. Click Edit | 3. Modify fields | 4. Click Cancel,Original values are restored and edit mode exits,,Not Executed,,,
TC_MF_GRT_019,Verify Loan Cycle No. accepts valid numeric input,Validation,P2,Add or Edit mode is active,1. Enter valid numeric cycle number | 2. Save,Valid numeric value is accepted and persisted,,Not Executed,,,
TC_MF_GRT_020,Verify Loan Cycle No. rejects invalid format,Validation,P2,Add or Edit mode is active,1. Enter invalid text/symbols in Loan Cycle No. | 2. Save,System rejects invalid format and displays validation feedback,,Not Executed,,,
TC_MF_GRT_021,Verify Group Disbursement Time format validation,Validation,P2,Add or Edit mode is active,1. Enter invalid time string | 2. Click Save,System enforces expected time format HH:MM or HH:MM:SS,,Not Executed,,,
TC_MF_GRT_022,Verify Group Disbursement Time accepts valid HH:MM format,Functional,P3,Add or Edit mode is active,1. Enter valid time such as 14:30 | 2. Save,Valid time is accepted and persisted,,Not Executed,,,
TC_MF_GRT_023,Verify date sequence business rule for GRT timeline,Business,P1,Add or Edit mode is active,1. Set GRT Date later than GRT Expiry Date | 2. Attempt Save,System blocks save with business date sequence validation,,Not Executed,,,
TC_MF_GRT_024,Verify installment start date business alignment with disbursement date,Business,P1,Add or Edit mode is active,1. Set Installment Start Date before Group Disbursement Date if disallowed | 2. Save,System enforces configured business rule for installment start timing,,Not Executed,,,
TC_MF_GRT_025,Verify Min Loan Amount and Max Loan Amount boundary validation,Business,P1,Add or Edit mode is active,1. Enter Min Loan Amount greater than Max Loan Amount | 2. Save,System blocks invalid boundaries and displays proper validation,,Not Executed,,,
TC_MF_GRT_026,Verify Loan Amount range validation against min and max,Business,P1,Add or Edit mode with min and max entered,1. Enter Loan Amount outside defined range | 2. Save,System blocks out-of-range loan amount according to business rules,,Not Executed,,,
TC_MF_GRT_027,Verify Installment Grace Period numeric validation,Validation,P2,Add or Edit mode is active,1. Enter non-numeric grace period | 2. Save,System rejects invalid grace period format,,Not Executed,,,
TC_MF_GRT_028,Verify Remarks max length validation,Validation,P2,Add or Edit mode is active,1. Enter text longer than 255 characters in Remarks,Input is limited to 255 characters and overflow is prevented,,Not Executed,,,
TC_MF_GRT_029,Verify Previous and Next Cycle navigation buttons,Functional,P2,Multiple cycle records exist for current context,1. Click Cycle Previous and Cycle Next buttons,Navigation moves between cycle records correctly and updates form data,,Not Executed,,,
TC_MF_GRT_030,Verify Previous and Next Reference navigation buttons,Functional,P2,Multiple reference records exist for current context,1. Click Reference Previous and Reference Next buttons,Navigation moves between reference records correctly and updates form data,,Not Executed,,,
TC_MF_GRT_031,Verify audit fields remain read-only,UI,P3,Any record is loaded,1. Inspect Created Modified and Supervised fields | 2. Attempt edit,Audit values are display-only and cannot be edited,,Not Executed,,,
TC_MF_GRT_032,Verify message panel feedback on success and validation,UI,P3,Screen is loaded,1. Trigger one validation error | 2. Perform one successful save,Message panel displays contextual feedback for both cases,,Not Executed,,,
TC_MF_GRT_033,Verify loading overlay behavior during backend calls,UI,P3,Perform View Save or Refresh action,1. Trigger server-bound action | 2. Observe loading overlay,Loading overlay appears during request and hides after completion,,Not Executed,,,
TC_MF_GRT_034,Verify Refresh button reloads latest backend state,Integration,P2,A record is loaded and refresh action available,1. Click Refresh | 2. Observe data state after reload,Form rebinds to latest server values without full parent reload,,Not Executed,,,
TC_MF_GRT_035,Verify Close button returns to parent context safely,Integration,P2,Screen opened as child/iframe from Group Maintenance,1. Click Close,Child screen closes and parent state remains stable,,Not Executed,,,
TC_MF_GRT_036,Verify Save API payload contains required GRT fields,Integration,P2,Browser network tools available and save performed,1. Perform Add or Edit Save | 2. Inspect request payload,Payload includes scheme cycle reference dates amounts term grace period remarks and module context as expected,,Not Executed,,,
TC_MF_GRT_037,Verify unauthorized access handling for GRT Details,Validation,P1,User lacks permission to GRT Details screen,1. Try direct URL access to GRT Details,System denies access or applies restricted behavior according to authorization policy,,Not Executed,,,
TC_MF_GRT_038,Verify read-only lookup field behavior for Scheme controls,Business,P2,Screen in view mode,1. Try typing into Scheme ID and Scheme Name fields,Scheme fields remain readonly and are only populated through approved lookup flow,,Not Executed,,,
